normalized_name,keep_id,drop_id,drop_prices_before,keep_prices_before,keep_prices_after,drop_recipe_links_before,keep_recipe_links_before,keep_recipe_links_after,drop_nutrition_rows_before,keep_nutrition_rows_before,keep_nutrition_rows_after,drop_exists_after,miss_bls_key,miss_default_unit,miss_ingredient_type,miss_initial_recipe_id,miss_tenant_id,miss_nutrition_id
corned beef,33bbae22-f2ce-55a1-9bbd-4d2cd61d501b,b3aca472-90e3-5495-bf08-6f71e8ae01f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hagebutte,2c83195b-2d77-5754-b6df-d7cd4eeae13f,5759d1eb-716e-515c-afea-96ab1c76af6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haifischöl,dd7ec916-05b1-5f88-81af-32099f71af5d,d1b05eb5-e197-540e-9015-a91dab740ccf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hartkäse,a7f9d39f-1dfc-52f2-8850-fb49d1a6918c,c0789061-800e-567a-acd4-b1e697cba60f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haselnussmus,04bfb90f-d14d-505b-bdbc-b15c0e5ae775,86883f40-832f-5161-9225-11d43ead32b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haselnussöl,523a8d91-307f-5a16-b27a-920eca2c4530,bc368e55-c646-5136-9202-1eb215366595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heringsöl,11bed24b-b069-5652-800b-85f3683ece46,84eb960e-257f-5afd-92de-03b0a0ef7cfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himbeere,edf5547b-5c69-5d37-84cf-12e695b615ba,ab858e60-1af3-5477-b337-53a0a1e8fea2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
holunderbeere,c4c4f13c-3b71-56cd-a849-97afc5f3f135,783ff876-e602-503e-811d-51724a07fec2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honig,2a835dd0-c0c2-52df-bb09-d72cf622f209,51211a5f-7a52-52e8-a19e-7498cc046822,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
hühnerei,f927bd06-21e5-5c56-aafb-885a5c1ae8df,2961036e-520a-5ceb-9538-6b6ba9e7d1a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacobsmuschel,82594bf5-b7b7-56c5-8de0-f4311577b9a6,31876b3d-224c-5778-9e89-4dc224d22da6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jagdwurst,6afea659-2e9d-5035-ab6f-ec9d5d371781,67f49617-301f-5469-a8cd-e8fab613cbe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
johannisbrotkernmehl,4025dcf2-60a6-5b94-9d01-216d45316b3c,7f8e0eba-8c2e-583e-a2f4-ef88db6a6eac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaffeesahne,4c905400-bff2-5c27-8023-e171a211057b,1f7b8b6b-8c15-50ac-838a-c9c9056b0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kakaobutter,f869a893-b82a-5ae1-a3bb-3fd2672131fe,7ccd516b-9145-5d62-be99-e120a024f06c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kakaopulver,bebe2108-655d-5133-b1ec-2568b479ad3a,01e2eecc-0651-5a8c-b241-c9420b494af1,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
kalbsroulade,811b446d-de37-5a03-b1d6-57cfb756dbd6,8fd177b4-7849-5155-9148-e2dc3efcde3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kasseler,07261e1d-2826-5e57-93a5-a4b2eeaadf46,867f7219-d445-58e9-9165-19bb3178a271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kefir,3228c77f-24d1-586f-9d94-f5d874961788,61e37be6-7e9c-53ff-808d-aeded2132af9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiwi,47bd65b9-03bb-5148-868c-83d3cc36c658,932210f7-8dbf-55c2-a222-2db8c77d65b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knäckebrot,7eb33659-457e-5150-a2f0-10c6e3bb6676,1adfb29e-9e15-59bf-b91e-2dc7c7e6e1fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kochbanane,22df7cf8-7e0e-5d82-9ad5-6096e12a3ab1,2968861c-8568-5c74-bda9-60de391e3caf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kokosfett,05039005-2361-5447-b303-4e431cbff119,ecb73d1e-9576-56cd-8f03-2064ce541ea7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kokosmilch,ccc9d016-3584-5df4-9945-a1619e706f6d,d93e3a9a-4730-5733-b1a3-e4425f86b70b,1,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0
kokosnuss raspeln getrocknet,ec88d0ff-a826-527b-9fa4-e02110758a06,526f71f2-af96-5ad3-9e1c-d7c243fe812f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kopfsalat,17b7528c-e633-5de5-ae16-f2a93f9c98e5,acbf1045-8aa9-5d0b-8360-c2da722bdd2d,1,0,1,0,5,5,1,0,1,0,0,0,0,0,0,0
